username,password,firstname,lastname,email,city,country,institution,department,course1,role1
jperez01,Clave123!,Juan,Pérez,jperez01@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
mlopez02,Clave124!,María,López,mlopez02@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
crojas03,Clave125!,Carlos,Rojas,crojas03@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
agomez04,Clave126!,Ana,Gómez,agomez04@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
rgarcia05,Clave127!,Ricardo,García,rgarcia05@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
fmartinez06,Clave128!,Fernanda,Martínez,fmartinez06@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
dcastro07,Clave129!,Daniel,Castro,dcastro07@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
lhernandez08,Clave130!,Laura,Hernández,lhernandez08@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
pmorales09,Clave131!,Pedro,Morales,pmorales09@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
cortiz10,Clave132!,Claudia,Ortiz,cortiz10@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
jtorres11,Clave133!,Jorge,Torres,jtorres11@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
vsilva12,Clave134!,Valentina,Silva,vsilva12@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
andrade13,Clave135!,Andrés,Andrade,andrade13@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
mnavarro14,Clave136!,Marcela,Navarro,mnavarro14@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
pcontreras15,Clave137!,Patricio,Contreras,pcontreras15@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
scarrasco16,Clave138!,Sofía,Carrasco,scarrasco16@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
gfuentes17,Clave139!,Gabriel,Fuentes,gfuentes17@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
nreyes18,Clave140!,Natalia,Reyes,nreyes18@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
eespinoza19,Clave141!,Eduardo,Espinoza,eespinoza19@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
kvaldes20,Clave142!,Karen,Valdés,kvaldes20@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
rodriguez21,Clave143!,Rodrigo,Rodríguez,rodriguez21@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
pobando22,Clave144!,Paola,Obando,pobando22@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
msepulveda23,Clave145!,Mauricio,Sepúlveda,msepulveda23@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
ccaceres24,Clave146!,Carolina,Cáceres,ccaceres24@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
jbravo25,Clave147!,José,Bravo,jbravo25@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
isoto26,Clave148!,Isabel,Soto,isoto26@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
lmunoz27,Clave149!,Luis,Muñoz,lmunoz27@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
tvergara28,Clave150!,Teresa,Vergara,tvergara28@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
fsaavedra29,Clave151!,Felipe,Saavedra,fsaavedra29@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
mmiranda30,Clave152!,Marcela,Miranda,mmiranda30@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
arojas31,Clave153!,Alejandro,Rojas,arojas31@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
jprieto32,Clave154!,Javiera,Prieto,jprieto32@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
rvidal33,Clave155!,Rodrigo,Vidal,rvidal33@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
dvera34,Clave156!,Daniela,Vera,dvera34@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
